Dataset,PublishTime,StartTime,SettlementDate,SettlementPeriod,FuelType,Generation
FUELINST,2024-01-08T15:45:00Z,2024-01-08T15:40:00Z,2024-01-08,32,OTHER,348
FUELINST,2024-01-08T15:45:00Z,2024-01-08T15:40:00Z,2024-01-08,32,PS,405
FUELINST,2024-01-08T15:45:00Z,2024-01-08T15:40:00Z,2024-01-08,32,WIND,10576
FUELINST,2024-01-08T15:40:00Z,2024-01-08T15:35:00Z,2024-01-08,32,BIOMASS,2989
FUELINST,2024-01-08T15:40:00Z,2024-01-08T15:35:00Z,2024-01-08,32,CCGT,23515
FUELINST,2024-01-08T15:40:00Z,2024-01-08T15:35:00Z,2024-01-08,32,COAL,1358
FUELINST,2024-01-08T15:40:00Z,2024-01-08T15:35:00Z,2024-01-08,32,INTELEC,-27
FUELINST,2024-01-08T15:40:00Z,2024-01-08T15:35:00Z,2024-01-08,32,INTEW,0
FUELINST,2024-01-08T15:40:00Z,2024-01-08T15:35:00Z,2024-01-08,32,INTFR,-998
FUELINST,2024-01-08T15:40:00Z,2024-01-08T15:35:00Z,2024-01-08,32,INTIFA2,-4
FUELINST,2024-01-08T15:40:00Z,2024-01-08T15:35:00Z,2024-01-08,32,INTIRL,-295
FUELINST,2024-01-08T15:40:00Z,2024-01-08T15:35:00Z,2024-01-08,32,INTNED,1003
FUELINST,2024-01-08T15:40:00Z,2024-01-08T15:35:00Z,2024-01-08,32,INTNEM,-324
FUELINST,2024-01-08T15:40:00Z,2024-01-08T15:35:00Z,2024-01-08,32,INTNSL,250
FUELINST,2024-01-08T15:40:00Z,2024-01-08T15:35:00Z,2024-01-08,32,INTVKL,-146
FUELINST,2024-01-08T15:40:00Z,2024-01-08T15:35:00Z,2024-01-08,32,NPSHYD,733
FUELINST,2024-01-08T15:40:00Z,2024-01-08T15:35:00Z,2024-01-08,32,NUCLEAR,3455
FUELINST,2024-01-08T15:40:00Z,2024-01-08T15:35:00Z,2024-01-08,32,OCGT,0
FUELINST,2024-01-08T15:40:00Z,2024-01-08T15:35:00Z,2024-01-08,32,OIL,0
FUELINST,2024-01-08T15:40:00Z,2024-01-08T15:35:00Z,2024-01-08,32,OTHER,361
FUELINST,2024-01-08T15:40:00Z,2024-01-08T15:35:00Z,2024-01-08,32,PS,405
